Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
33	wheeler154	1647707531.373	   326.633	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '33'
39	wheeler205	1647707535.103	   323.733	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '39'
34	wheeler155	1647707531.947	   328.384	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '34'
36	wheeler204	1647707533.234	   330.081	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '36'
37	wheeler204	1647707534.068	   329.455	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '37'
38	wheeler205	1647707534.255	   329.739	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '38'
46	wheeler260	1647707538.703	   325.671	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '46'
44	wheeler202	1647707537.739	   326.928	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '44'
41	wheeler155	1647707537.265	   327.896	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '41'
47	wheeler202	1647707539.330	   325.976	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '47'
40	wheeler260	1647707536.070	   329.358	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '40'
48	wheeler186	1647707540.150	   325.324	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '48'
42	wheeler203	1647707537.552	   328.930	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '42'
43	wheeler203	1647707537.610	   329.430	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '43'
45	wheeler186	1647707537.850	   333.626	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '45'
49	wheeler154	1647707857.381	   323.960	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '49'
52	wheeler155	1647707860.347	   327.730	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '52'
51	wheeler205	1647707858.853	   330.002	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '51'
50	wheeler154	1647707858.030	   332.240	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '50'
55	wheeler205	1647707864.013	   326.352	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '55'
54	wheeler204	1647707863.540	   327.532	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '54'
62	wheeler203	1647707866.499	   325.949	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '62'
57	wheeler202	1647707864.684	   327.918	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '57'
60	wheeler260	1647707865.443	   327.243	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '60'
58	wheeler155	1647707865.178	   328.605	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '58'
53	wheeler204	1647707863.333	   332.492	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '53'
59	wheeler202	1647707865.323	   331.061	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '59'
56	wheeler260	1647707864.390	   332.032	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '56'
61	wheeler186	1647707865.491	   331.465	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '61'
63	wheeler203	1647707867.057	   330.634	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '63'
64	wheeler186	1647707871.493	   328.233	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '64'
65	wheeler154	1647708181.371	   328.023	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '65'
74	wheeler155	1647708193.802	   324.592	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '74'
66	wheeler155	1647708188.094	   330.357	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '66'
68	wheeler154	1647708190.297	   328.482	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '68'
67	wheeler205	1647708188.871	   330.259	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '67'
72	wheeler202	1647708192.620	   326.919	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '72'
71	wheeler203	1647708192.468	   327.378	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '71'
69	wheeler205	1647708190.391	   332.299	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '69'
73	wheeler260	1647708192.703	   331.237	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '73'
70	wheeler204	1647708191.092	   333.733	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '70'
77	wheeler260	1647708196.439	   329.390	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '77'
79	wheeler203	1647708197.708	   330.595	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '79'
78	wheeler186	1647708196.973	   331.483	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '78'
75	wheeler204	1647708195.847	   333.491	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '75'
76	wheeler202	1647708196.400	   332.957	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '76'
80	wheeler186	1647708199.743	   330.815	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '80'
81	wheeler154	1647708509.418	   329.463	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '81'
87	wheeler203	1647708519.867	   327.692	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '87'
84	wheeler154	1647708518.799	   329.585	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '84'
86	wheeler202	1647708519.557	   330.029	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '86'
83	wheeler155	1647708518.468	   331.406	0	0	0	0	Rscript --vanilla /projects/gzhang2016227/nikolay/thesis-additivemtl-pertask-linearcomponent/linearcomponent_pertask_raw.R '83'
