task,lambda,ev_all,ev_lin,ev_svr
95,0.1,-454.475877143583,-462.177599332927,30.1769952684878
97,0.1,52.9774767211829,46.1106535830104,30.1741482488635
94,0.1,53.4485429064669,46.52738607274,30.2216909424143
99,0.1,52.4239427191163,45.6286957974852,30.0558023814771
100,0.1,53.3816354198353,46.4719080186537,30.164756481048
101,0.1,-77.5249008685728,-84.6653970901816,30.1950456750889
102,0.1,-397.9471833358,-405.512928783766,30.122743739374
103,0.1,52.9537643198543,46.1929197095286,30.169006263511
104,0.1,52.9599039255254,46.170361488344,30.1477731188002
105,0.1,-312.994261281565,-320.438750323742,30.1679929638562
106,0.1,53.0182845345957,46.1984770911649,30.1546810505079
107,0.1,53.3062490994511,46.4238701790448,30.1255949314368
108,0.1,53.3415801619348,46.4520012599033,30.1721686156127
98,0.1,52.8795565297909,46.0691970842227,30.1263657808349
109,0.1,53.1437146254281,46.2383912318511,30.2157173916867
110,0.1,-364.433355461448,-372.008646137375,30.1063457210324
111,0.1,52.9422474570795,46.1296407831807,29.9184098048629
112,0.1,-95.3502511145114,-102.511569927895,30.1766096455711
113,0.1,-133.862821750422,-141.130196971024,30.0653072438022
115,0.1,-332.588900378345,-340.084776869709,30.1948268282763
117,0.1,53.2950249808023,46.3852321762999,30.178175470557
116,0.1,53.1334972583393,46.3101271724956,30.1205459900804
118,0.1,52.9912098678659,46.1794242195549,30.0943704438273
119,0.1,-168.283635218801,-175.547323701748,30.1543311838542
120,0.1,52.9755737526014,46.130865841052,30.210241868343
114,0.1,-62.7710773178466,-69.8928850030477,30.1323092293838
121,0.1,53.4346989592379,46.5148982945929,30.2126225455618
122,0.1,53.2732914508848,46.4059144615313,30.1067723707506
123,0.1,-71.270978993595,-78.359398645037,30.208909027917
124,0.1,53.1624774231073,46.3115825232958,30.1625182241172
125,0.1,-257.699947244515,-265.095024908282,30.0449495168342
128,0.1,53.2858477814203,46.3898497239582,30.1537847729648
127,0.1,53.0296163135072,46.2171518017341,30.0636966832449
129,0.1,30.7214290832361,24.0742224158823,30.0649183605562
130,0.1,-670.072918835076,-677.985080278369,30.167645379054
131,0.1,53.3637524526292,46.4669803948367,30.2284133317544
133,0.1,36.225295077866,29.5314063216126,30.105267421442
132,0.1,53.3368688700131,46.4587932945426,30.1624327021485
126,0.1,53.3814316936715,46.4683795945824,30.1907221880676
134,0.1,48.2552484599631,41.5300434596275,29.9995376728606
135,0.1,52.1312506085676,45.2066473559444,29.959098599137
136,0.1,50.781862739729,43.8860761168608,30.2113525083661
137,0.1,53.2975229609544,46.3930849938696,30.1344626909439
138,0.1,53.2230824712499,46.3841495313593,30.1692820315398
139,0.1,51.5945376012911,44.6987102892202,30.2150804801507
